response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,State
0,0,-1,0,,2,0,1.2457042217814843e-09,0.9999999987543333,1,0,1,2
1,-1,1,0,0.0,2,-1,0.0005329440896064412,0.9994670559104324,1,0,1,2
1,1,2,1,10.0,2,2,0.0014821698015763175,0.998517830198382,1,1,1,2
1,1,1,2,-2.0,2,3,0.0013888062214434396,0.9986111937785555,1,1,1,2
0,1,-1,1,,2,2,0.0015370916275277038,0.9984629083724971,1,0,1,2
1,-1,-1,0,,2,-1,2.2687819512418017e-06,0.9999977312180179,0,0,0,2
0,1,-1,0,,2,1,0.0018617931727806705,0.9981382068271787,1,0,1,2
0,-1,-1,0,,2,-1,0.0019383206783064742,0.9980616793217254,1,1,1,2
1,-1,1,0,3.0,2,-1,0.000646668661075143,0.9993533313389591,1,0,1,2
1,1,-1,1,,2,2,3.134679139687864e-07,0.9999996865321273,0,1,0,2
1,1,-1,0,,2,1,2.9678009851284174e-07,0.9999997032198721,0,1,0,2
1,1,1,0,-3.0,2,1,0.0005858900378102603,0.9994141099622051,1,1,1,2
0,1,-1,1,,2,2,0.0010629309745933634,0.9989370690254631,1,0,1,2
1,-1,-1,0,,2,-1,2.7182807138684317e-06,0.9999972817192312,0,0,0,2
1,1,2,0,10.0,2,1,0.0031889558881861573,0.9968110441118434,1,1,1,2
1,1,1,2,3.0,2,3,0.005275247994194185,0.9947247520058093,1,1,1,2
1,1,1,1,0.0,2,2,0.00966329507941269,0.9903367049205604,1,1,1,2
0,1,-1,1,,2,2,0.01877203569964433,0.9812279643003712,1,0,1,2
0,-1,-1,0,,2,-1,0.023533355380920298,0.9764666446191117,1,1,1,2
1,-1,1,0,-1.0,2,-1,0.025924302859353127,0.9740756971405979,1,0,1,2
0,1,-1,1,,2,2,0.038491002276707736,0.9615089977232517,1,0,1,2
1,-1,2,0,-10.0,2,-1,0.0453619600964653,0.9546380399035161,1,0,1,2
0,1,1,2,2.0,2,3,0.050684103056795486,0.9493158969431801,0,0,0,2
0,-1,-1,1,,2,0,0.03809325372251745,0.9619067462775118,1,1,1,2
0,-1,-1,0,,2,-1,0.021428473748698197,0.9785715262512662,1,1,1,2
1,-1,-1,0,,2,-1,7.146809951840231e-05,0.9999285319005281,0,0,0,2
0,1,-1,0,,2,1,0.006459179728011173,0.9935408202719679,1,0,1,2
0,-1,-1,0,,2,-1,0.009666707853516804,0.9903332921465055,1,1,1,2
0,-1,-1,0,,2,-1,0.010986776922864233,0.989013223077149,1,1,1,2
0,-1,-1,0,,2,-1,0.01046836400948422,0.989531635990565,1,1,1,2
1,-1,2,0,-10.0,2,-1,0.008092235008193602,0.9919077649918446,1,0,1,2
1,1,1,2,-3.0,2,3,0.0044508412558960445,0.9955491587440517,1,1,1,2
1,1,1,1,-3.0,2,2,0.0027117193480081774,0.9972882806520458,1,1,1,2
1,1,1,1,-2.0,2,2,0.0019161673940204101,0.9980838326060336,1,1,1,2
1,1,1,1,1.0,2,2,0.0016256323754110676,0.998374367624563,1,1,1,2
0,1,-1,1,,2,2,0.001679955035755074,0.9983200449642096,1,0,1,2
1,-1,-1,0,,2,-1,8.008747194608288e-06,0.9999919912528518,0,0,0,2
0,1,-1,0,,2,1,0.0072930221321988505,0.9927069778678085,1,0,1,2
0,-1,-1,0,,2,-1,0.01112500668369723,0.9888749933162948,1,1,1,2
0,-1,-1,0,,2,-1,0.012968767804431578,0.9870312321955459,1,1,1,2
1,-1,2,0,10.0,2,-1,0.012892712539078786,0.9871072874609398,1,0,1,2
1,1,1,2,-3.0,2,3,0.011556517742458406,0.9884434822574903,1,1,1,2
0,1,-1,1,,2,2,0.012776806224755721,0.9872231937752297,1,0,1,2
0,-1,-1,0,,2,-1,0.011169704615588128,0.9888302953844287,1,1,1,2
1,-1,1,0,3.0,2,-1,0.007596092160983282,0.9924039078389757,1,0,1,2
0,1,-1,1,,2,2,0.007830656782118453,0.9921693432179239,1,0,1,2
