response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int,correct,prev_resp_congruent,contrast_congruent,State
1,0,2,0,-10.0,1,0,0.0072790315812670545,0.992720968418776,1,0,1,2
0,1,-1,2,,1,3,0.013943296800560735,0.9860567031994388,1,0,1,2
1,-1,1,0,-2.0,1,-1,0.015579873726511203,0.984420126273463,1,0,1,2
0,1,-1,1,,1,2,0.024768279818707065,0.9752317201813455,1,0,1,2
0,-1,-1,0,,1,-1,0.027886844308384735,0.972113155691567,1,1,1,2
1,-1,1,0,0.0,1,-1,0.026058697390842298,0.9739413026091158,1,0,1,2
0,1,-1,1,,1,2,0.03306521253938872,0.9669347874605664,1,0,1,2
1,-1,1,0,3.0,1,-1,0.03388000515711543,0.9661199948429093,1,0,1,2
0,1,-1,1,,1,2,0.046132183748885794,0.9538678162510865,1,0,1,2
0,-1,-1,0,,1,-1,0.050934643629718133,0.9490653563703128,1,1,1,2
1,-1,1,0,-2.0,1,-1,0.049862029615498966,0.9501379703845185,1,0,1,2
0,1,-1,1,,1,2,0.06221760069526446,0.9377823993047399,1,0,1,2
1,-1,2,0,-10.0,1,-1,0.06659671641613736,0.9334032835838214,1,0,1,2
0,1,-1,2,,1,3,0.0680699737797432,0.931930026220277,1,0,1,2
0,-1,-1,0,,1,-1,0.062016342935926796,0.9379836570640258,1,1,1,2
0,-1,-1,0,,1,-1,0.049049510818544396,0.9509504891814129,1,1,1,2
1,-1,1,0,0.0,1,-1,0.028103160642658914,0.971896839357389,1,0,1,2
1,1,1,1,-2.0,1,2,0.021760827124513143,0.9782391728754677,1,1,1,2
1,1,1,1,-3.0,1,2,0.021656452382129664,0.9783435476179002,1,1,1,2
0,1,-1,1,,1,2,0.02771715589162515,0.9722828441084054,1,0,1,2
0,-1,-1,0,,1,-1,0.02795651686475369,0.9720434831352699,1,1,1,2
1,-1,2,0,10.0,1,-1,0.023185938895327968,0.9768140611046974,1,0,1,2
1,1,1,2,1.0,1,3,0.015654776600696082,0.9843452233993333,1,1,1,2
1,1,1,1,1.0,1,2,0.013711202150620279,0.9862887978493274,1,1,1,2
0,1,-1,1,,1,2,0.01599809867109498,0.9840019013289274,1,0,1,2
1,-1,1,0,3.0,1,-1,0.013440374537525288,0.9865596254624214,1,0,1,2
1,1,1,1,2.0,1,2,0.016482171595012828,0.9835178284049778,1,1,1,2
0,1,-1,1,,1,2,0.025856386363339805,0.9741436136366943,1,0,1,2
0,-1,-1,0,,1,-1,0.029076436074956823,0.9709235639250293,1,1,1,2
1,-1,2,0,10.0,1,-1,0.027292733357683827,0.9727072666422762,1,0,1,2
0,1,-1,2,,1,3,0.022800342461268885,0.977199657538681,1,0,1,2
1,-1,1,0,3.0,1,-1,0.012059358950447813,0.9879406410495631,1,0,1,2
1,1,1,1,-2.0,1,2,0.008897720627115573,0.9911022793728419,1,1,1,2
0,1,-1,1,,1,2,0.008885716777659704,0.9911142832222962,1,0,1,2
1,-1,1,0,1.0,1,-1,0.004585958318587591,0.99541404168136,1,0,1,2
1,1,1,1,3.0,1,2,0.0033555863241105212,0.9966444136758438,1,1,1,2
1,1,1,1,0.0,1,2,0.0032097430272124664,0.996790256972832,1,1,1,2
1,1,1,1,2.0,1,2,0.004046592144144735,0.9959534078558809,1,1,1,2
0,1,-1,1,,1,2,0.006450470466095939,0.9935495295339506,1,0,1,2
1,-1,1,0,0.0,1,-1,0.004985493224362001,0.9950145067756001,1,0,1,2
1,1,2,1,-10.0,1,2,0.006122206823627039,0.9938777931763849,1,1,1,2
1,1,1,2,3.0,1,3,0.004926001640594876,0.9950739983594518,1,1,1,2
1,1,1,1,-1.0,1,2,0.005440920049975197,0.9945590799500722,1,1,1,2
0,1,-1,1,,1,2,0.008026508073834,0.9919734919261896,1,0,1,2
1,-1,1,0,3.0,1,-1,0.0065415769320808425,0.9934584230679634,1,0,1,2
0,1,-1,1,,1,2,0.008338765788076576,0.9916612342118737,1,0,1,2
1,-1,1,0,3.0,1,-1,0.006035373499643429,0.9939646265003468,1,0,1,2
1,1,1,1,1.0,1,2,0.006845650124399757,0.9931543498755826,1,1,1,2
1,1,1,1,-2.0,1,2,0.010333047805613954,0.9896669521944316,1,1,1,2
1,1,1,1,2.0,1,2,0.01893267070890387,0.9810673292910704,1,1,1,2
0,1,-1,1,,1,2,0.038649276383838665,0.9613507236161956,1,0,1,2
0,-1,-1,0,,1,-1,0.04961760200398139,0.950382397996055,1,1,1,2
1,-1,2,0,-10.0,1,-1,0.05423417850614734,0.9457658214938012,1,0,1,2
0,1,-1,2,,1,3,0.05598696920167454,0.9440130307983112,1,0,1,2
1,-1,1,0,-1.0,1,-1,0.05067538164785739,0.9493246183521002,1,0,1,2
0,1,-1,1,,1,2,0.05804586812583213,0.9419541318741359,1,0,1,2
0,-1,-1,0,,1,-1,0.05815376003177692,0.9418462399681676,1,1,1,2
0,-1,-1,0,,1,-1,0.052115477962996294,0.9478845220369596,1,1,1,2
1,-1,2,0,10.0,1,-1,0.03943446875494014,0.9605655312451103,1,0,1,2
1,1,1,2,1.0,1,3,0.023556891614331613,0.9764431083856899,1,1,1,2
1,1,1,1,0.0,1,2,0.017441705413722683,0.9825582945862479,1,1,1,2
1,1,1,1,3.0,1,2,0.016818931001942438,0.9831810689980384,1,1,1,2
1,1,1,1,-3.0,1,2,0.021253711014560115,0.9787462889854608,1,1,1,2
0,1,-1,1,,1,2,0.033842667136131835,0.966157332863897,1,0,1,2
1,-1,1,0,-2.0,1,-1,0.03936489913696693,0.9606351008630407,1,0,1,2
1,1,2,1,10.0,1,2,0.060755387510486696,0.939244612489467,1,1,1,2
0,1,-1,2,,1,3,0.07895781276963387,0.9210421872304061,1,0,1,2
0,-1,-1,0,,1,-1,0.08776522083853117,0.9122347791614809,1,1,1,2
1,-1,1,0,-3.0,1,-1,0.08954046929687161,0.9104595307031208,1,0,1,2
0,1,-1,1,,1,2,0.11136007595774941,0.8886399240421944,1,0,1,2
0,-1,-1,0,,1,-1,0.12249513680550486,0.8775048631944662,1,1,1,2
0,-1,-1,0,,1,-1,0.12580981918659584,0.8741901808133623,1,1,1,2
1,-1,1,0,2.0,1,-1,0.12157670328310173,0.8784232967168536,1,0,1,2
1,1,1,1,0.0,1,2,0.13812518184047065,0.8618748181594887,1,1,1,2
0,1,1,1,-1.0,1,2,0.18328566357359863,0.8167143364263475,0,0,0,2
1,-1,2,1,10.0,1,0,0.18538992464963613,0.8146100753503507,1,0,1,2
1,1,1,2,-3.0,1,3,0.18449784599085625,0.815502154009169,1,1,1,2
0,1,-1,1,,1,2,0.20440625734698298,0.7955937426529619,1,0,1,2
1,-1,1,0,-3.0,1,-1,0.21278605456247202,0.7872139454375439,1,0,1,2
0,1,-1,1,,1,2,0.2558011839552106,0.7441988160447892,1,0,1,2
0,-1,-1,0,,1,-1,0.2823397567717698,0.7176602432282574,1,1,1,2
0,-1,-1,0,,1,-1,0.2979701374488448,0.7020298625511233,1,1,1,2
0,-1,-1,0,,1,-1,0.30397767749872057,0.6960223225012765,1,1,1,2
0,-1,-1,0,,1,-1,0.3008564020412445,0.6991435979587243,1,1,1,2
0,-1,-1,0,,1,-1,0.2883496355537833,0.7116503644462132,1,1,1,2
0,-1,-1,0,,1,-1,0.2654288943704734,0.7345711056295194,1,1,1,2
1,-1,1,0,3.0,1,-1,0.23020931017300153,0.7697906898270042,1,0,1,2
1,1,2,1,-10.0,1,2,0.22683490292139216,0.7731650970786111,1,1,1,2
1,1,1,2,-1.0,1,3,0.22083748525977498,0.779162514740211,1,1,1,2
1,1,1,1,3.0,1,2,0.23629233442165376,0.7637076655783694,1,1,1,2
0,1,-1,1,,1,2,0.2839909261758309,0.716009073824212,1,0,1,2
